Sent At,Direction
"8/25/20, 12:02 AM",OUTGOING
"8/24/20, 3:34 AM",OUTGOING
"8/23/20, 9:10 AM",OUTGOING
"8/23/20, 9:10 AM",OUTGOING
"8/23/20, 9:10 AM",OUTGOING
"8/22/20, 4:55 PM",OUTGOING
"8/22/20, 4:30 PM",OUTGOING
"8/22/20, 12:08 PM",OUTGOING
"8/22/20, 12:08 PM",OUTGOING
"8/22/20, 12:08 PM",OUTGOING
"8/22/20, 12:08 PM",OUTGOING
"8/22/20, 12:08 PM",OUTGOING
"8/22/20, 12:07 PM",OUTGOING
"8/22/20, 12:08 PM",OUTGOING
"8/22/20, 12:07 PM",OUTGOING
"8/22/20, 11:54 AM",OUTGOING
"8/22/20, 11:43 AM",OUTGOING
"8/22/20, 11:34 AM",OUTGOING
"8/20/20, 2:27 PM",OUTGOING
"8/19/20, 8:22 PM",OUTGOING
"8/19/20, 2:20 PM",OUTGOING
"8/18/20, 3:09 PM",OUTGOING
"8/18/20, 3:04 PM",OUTGOING
"8/18/20, 3:01 PM",OUTGOING
"8/18/20, 3:00 PM",OUTGOING
"8/18/20, 3:00 PM",OUTGOING
"8/18/20, 2:59 PM",OUTGOING
"8/17/20, 4:57 AM",OUTGOING
"8/16/20, 10:41 AM",OUTGOING
"8/14/20, 4:50 AM",OUTGOING
"8/14/20, 4:50 AM",OUTGOING
"8/14/20, 4:50 AM",OUTGOING
"8/14/20, 4:50 AM",OUTGOING
"8/14/20, 4:50 AM",OUTGOING
"8/14/20, 4:50 AM",OUTGOING
"8/14/20, 4:50 AM",OUTGOING
"8/14/20, 4:50 AM",OUTGOING
"8/14/20, 4:50 AM",OUTGOING
"8/14/20, 4:49 AM",OUTGOING
"8/14/20, 4:49 AM",OUTGOING
"8/14/20, 4:49 AM",OUTGOING
"8/14/20, 4:34 AM",OUTGOING
"8/11/20, 3:42 AM",OUTGOING
"8/9/20, 11:14 PM",OUTGOING
"8/9/20, 11:14 PM",OUTGOING
"8/9/20, 11:12 PM",OUTGOING
"8/9/20, 5:02 PM",OUTGOING
"8/9/20, 11:20 AM",OUTGOING
"8/9/20, 11:13 AM",OUTGOING
"8/7/20, 11:38 AM",OUTGOING
"8/5/20, 7:52 AM",OUTGOING
"8/3/20, 5:16 PM",OUTGOING
"8/3/20, 5:16 PM",OUTGOING
"8/3/20, 5:16 PM",OUTGOING
"8/3/20, 5:16 PM",OUTGOING
"8/3/20, 5:16 PM",OUTGOING
"8/3/20, 5:16 PM",OUTGOING
"7/24/20, 9:45 AM",OUTGOING
"7/24/20, 9:42 AM",OUTGOING
"7/24/20, 7:46 AM",OUTGOING
"7/24/20, 7:24 AM",OUTGOING
"7/24/20, 6:11 AM",OUTGOING
"7/24/20, 6:09 AM",OUTGOING
"7/24/20, 1:14 AM",OUTGOING
"7/24/20, 1:11 AM",OUTGOING
"7/23/20, 12:57 PM",OUTGOING
"7/19/20, 9:42 AM",OUTGOING
"7/19/20, 9:32 AM",OUTGOING
"7/19/20, 9:09 AM",OUTGOING
"7/19/20, 9:08 AM",OUTGOING
"7/19/20, 3:51 AM",OUTGOING
"7/19/20, 3:52 AM",OUTGOING
"7/19/20, 3:51 AM",OUTGOING
"7/19/20, 3:51 AM",OUTGOING
"7/19/20, 3:51 AM",OUTGOING
"7/19/20, 3:51 AM",OUTGOING
"7/19/20, 3:51 AM",OUTGOING
"7/19/20, 3:51 AM",OUTGOING
"7/19/20, 3:51 AM",OUTGOING
"7/19/20, 3:51 AM",OUTGOING
"7/19/20, 3:50 AM",OUTGOING
"7/18/20, 2:01 AM",OUTGOING
"7/18/20, 2:01 AM",OUTGOING
"7/18/20, 2:01 AM",OUTGOING
"7/18/20, 2:01 AM",OUTGOING
"7/18/20, 2:01 AM",OUTGOING
"7/18/20, 2:01 AM",OUTGOING
"7/18/20, 2:01 AM",OUTGOING
"7/18/20, 2:01 AM",OUTGOING
"7/18/20, 2:01 AM",OUTGOING
"7/18/20, 2:01 AM",OUTGOING
"7/18/20, 2:01 AM",OUTGOING
"7/18/20, 2:01 AM",OUTGOING
"7/18/20, 2:01 AM",OUTGOING
"7/15/20, 8:47 PM",OUTGOING
"7/15/20, 8:44 PM",OUTGOING
"7/15/20, 8:41 PM",OUTGOING
"7/15/20, 3:03 AM",OUTGOING
"7/13/20, 8:34 PM",OUTGOING
"7/12/20, 5:42 AM",OUTGOING
"7/4/20, 7:26 AM",OUTGOING
"7/2/20, 6:58 AM",OUTGOING
"7/1/20, 7:30 AM",OUTGOING
"7/1/20, 6:55 AM",OUTGOING
"7/1/20, 2:55 AM",OUTGOING
"7/1/20, 2:50 AM",OUTGOING
"6/29/20, 4:55 PM",OUTGOING
"6/29/20, 4:56 PM",OUTGOING
"6/29/20, 4:56 PM",OUTGOING
"6/29/20, 4:55 PM",OUTGOING
